MainID,Rogers et al. chaos tests,,,Determinism tests,,,Adjusted probability of chaos
,LE,RQA,PE,NPE,NPE class,KDE class,
9796,not chaotic,not chaotic,chaotic,-0.4807341,stochastic,stochastic,0.0128419
9797,chaotic,not chaotic,chaotic,-0.6131907,stochastic,stochastic,0.4332313
9833,not chaotic,chaotic,chaotic,0.6336515,stochastic,NaN,0.3006444
9834,not chaotic,chaotic,not chaotic,0.8289802,deterministic,stochastic,0.1379763
9893,not chaotic,not chaotic,not chaotic,-0.1233551,stochastic,stochastic,0.001002322
9894,chaotic,not chaotic,chaotic,-0.2305003,stochastic,stochastic,0.4332313
9917,not chaotic,not chaotic,chaotic,-0.1008582,stochastic,deterministic,0.03635446
9918,not chaotic,not chaotic,not chaotic,NaN,NaN,deterministic,0.03914069
9919,not chaotic,chaotic,not chaotic,0.002188207,stochastic,deterministic,0.03209148
9920,not chaotic,not chaotic,chaotic,-0.05000009,stochastic,deterministic,0.03635446
9921,not chaotic,chaotic,not chaotic,0.04224795,stochastic,stochastic,0.01130369
9923,not chaotic,not chaotic,not chaotic,0.1569227,stochastic,deterministic,0.002901208
9949,not chaotic,chaotic,chaotic,-0.01756994,stochastic,deterministic,0.3006444
9950,not chaotic,chaotic,chaotic,NaN,NaN,deterministic,0.857518
9953,chaotic,chaotic,chaotic,0.1101054,stochastic,stochastic,0.8970156
9955,not chaotic,chaotic,not chaotic,0.4111533,stochastic,stochastic,0.01130369
